File name,contents,tokens
learning walks_main.docx part11," Draw around their shadows.Put on a hat or two and enjoy some funny shadows!Do you think someone can have two shadows at once? When? Try to “run away” from your shadows, jump on them, and play “shadow tag”!There is room for experiment in the darkness too. Just bring a flashlight and make shadows for different objects yourself, you can experiment at different angles and sides!Check out Appendix for a few examples!Fun ideas to continue the conversation at home:Make a shadow puppet theater! You won’t need anything but for a source of light and your own hands  Just google how to do it, here is a tutorial I found on YouTube: If you have time on your hands and want to do smth more elaborate, a shadow theater would be another great option. Here is a  I found on YouTube. This one is a . Fun FactsShadows length: The Sun makes the longest shadows at the beginning and end of the day, when the Sun is lowest in the sky and the shortest shadows at midday, when it’s highest in the sky.Shadows and graphics: When you watch your favorite cartoons, pay attention. Cartoonists always add shadows because they add reality to an image!For older kids: There is a place where we don’t have a shadow: At noon on the equinoxes of March 21 and September 23, the right angle formed by the sun’s rays and the objects at the equator  casts no shadow",317
learning walks_main.docx part12,"ExperimentYears ago people didn’t have clocks or watches, so they needed to use nature to understand what time it is. In different times, people used water clocks, sand clocks, even flower clocks, one of the first clocks was sundial. It uses sun and shadows to understand the time. We can build one right now!For older kids: A sundial dating to the 13th century B.C. and considered one of the oldest Egyptian sundials, was discovered in Egypt's Valley of the KingsDraw a circle on the ground. Put a straw, a pencil, or just a long stick in the center secured by rocks. You can also bring a paper plate and glue an unsharpened pencil to it",152
learning walks_main.docx part13," See where the shadow falls and mark that place with a rock or another small object. Check what time it is and write the right number in that spot, e.g., 9 for 9 a.m. You can write the numbers around the circle  . After the walk, stop by the sundial again and see where the “arrow”, the shadow from the straw or the stick, is. The key thing to see is that the shadow “moves'' around the circle",100
learning walks_main.docx part14," You can continue the experiment the next day – stop by and take a look at the sundial, see where the shadow is. Most kids get extremely excited when they discover this phenomenon!For little scientists who would like to make a more accurate sundial: Interesting story The time you get from your sundial is likely a little different from the time on your watch, simply because it is solar time, not standard time. The two aren't exactly the same. The sun is constantly moving across the sky, and even several miles away its position will be slightly different. According to solar time, noon is the highest point of the sun in the sky. It means that noon where you are is a little different from noon at a place a few miles east or west.Until 1883, people used solar time with each town or village keeping its own time. Standard time in the US was implemented in 1883 to make sure that trains are expected on schedule across the whole country",194
learning walks_main.docx part15,"ImaginariumAsk your child if the shadows had colors, what color would his or her shadow be? What about yours? What if shadows were alive? Where would they live? What would they eat? What would be their fun activities?Try to come up with some funny shadow doodles on your own! For examples, see appendix!Let that imagination roam wild and free!Books to read“Gruffalo’s child” by Julia Donaldson - “Gruffalo” and “Gruffalo’s child” are both great books to read, but to complement this walk I recommend the latter because the shadow helps the mousie at the end ;) A cartoon is available online as well.“Sky” Walk 3            Before the walk: Ask your child what the sky is: at 3-4, most children already have an idea about what it is, even though it can be different from reality. Again, no need to correct them, listen and write the most interesting  ideas down! Let’s begin!It’s time to use our props if you brought them! Spin the ball in your hand and tell your child that we live on planet Earth, and it is round shaped like this ball  and it’s also very very big, so we can’t tell that it’s round shaped. Then wrap the ball with the plastic bag and explain that just as this ball is now protected by the bag, the Earth is protected by a layer of air, also called atmosphere. It is like a blanket around the Earth, and it only lets in warming rays from our Sun while protecting it from the harmful Sun rays. Without the atmosphere, it would get really hot in the daytime, and extremely cold at night. When we look up, we see a part of the atmosphere above us, and that’s what we call the sky. So the sky is really just air",411
learning walks_main.docx part16," Now look up at the sky and try to name as many things one can see there: During the day: birds, clouds, At night: moon, sun, stars, cloudsManmade objects: airplanes, helicopters, kites, hot air balloons, parachutesNature objects: rainbow, clouds, stars, lightning, rain falling from the sky…*In this and other walks we will reiterate some of the things we talked about in our previous walks. It is important to re-attend those subjects to help memory development, to help them see new ideas and connections with the newly-introduced subjectsWhen you begin your walk, try to find a part of the sky with some clouds  Take a picture of it . Look at the picture with your child. At the end of the walk, take a photo of the same part of the sky, compare both photos. Are they the same? What has changed? Talk about why .You can “catch” some air in the plastic bag you’ve brought and wrapped around the ball. Ask what color the air is. If the answer is “white”, clarify “as milk? But you can’t see anything through milk!” We can see the clouds in the sky, and we can’t see through them as we can through the air",272
learning walks_main.docx part17," What do you think they consist of? Brainstorm your ideas with your child and just write them down!Interesting story Tell your child that for a long time people didn’t know what Earth and the sky actually looked like, and had many ideas. Many people believe that Earth is flat, covered by the sky as a dome or a roof . They thought that the sky rises on one side of the ocean and slowly moves around the Earth and sits on the other side, slowly going down in the ocean again. They used to believe the Earth is the center of the Universe  and all stars and planets move around the flat Earth.Fun FactsTypes and weight of clouds: There are different types of clouds and they only seem so light! An average cumulus  can weigh more than a million pounds , and a heavy thunderstorm can pack billions  of pounds of water in one tiny part of the sky!Airplane trace: Did you notice the lines the airplanes leave behind in the sky? The reason is the heat from the pipes of the plane mixes with the cold water droplets in the sky that make icy, white crystals which form a trace!Fun Fact for ParentsWeather as a weapon: During the Vietnam war, the U.S. carried out Operation Popeye, a “cloud-seeding” mission to try and stimulate clouds in Vietnam to increase rainfall and lengthen the monsoon season. After the operation was declassified in 1974, the United Nations banned the weaponization of weather",305
learning walks_main.docx part18,"Olympics: During the 2008 Olympics in China, 30 airplanes, 4,000 rocket launchers, and 7,000 anti-aircraft guns were used to stop the rain. Shooting various chemicals into any threatening clouds to shrink raindrops before they reach the stadium.Cuban socialism: One proposal to get rid of Fidel Castro was to spread rumors that he was the Antichrist, then fake the second coming. A U.S. submarine would project an image of Jesus on clouds close to Havana while firing star-shells. A loudspeaker would be used as the voice of Jesus, urging cubans to renounce communism. Source:  ImaginariumIf you did catch a day with fluffy clouds in the sky, let’s imagine what they look like",157
learning walks_main.docx part19," If your little ones have a hard time seeing that elephant you are trying to show them, you can take a photo of the cloud and then point at the screen and explain: “here is the head, and ears, and his tail!”, or better yet, use a pencil on your phone to draw markings around it! and clouds are their countries. Talk about how they live, how they communicate with the other creatures who live on neighboring clouds, what do they see below them. If you are having fun, you can come up with multiple stories about these creatures with your child, or even make drawings to illustrate them! Books to read “Cloud” by Eric Carle - A classic by Eric Carle for the youngest readers, but also a great introduction to play and explore. As a continuation of the story, you can come up with your own story about a little cloud and what forms and shapes it took. Use shaving foam or hair foam to make some funny clouds on a blue piece of paper. Add some cotton balls and make your own “cloud city”. Imagine what “cloud people'' are doing – maybe taking rain showers? Or having a competition whose voice is louder and we hear them as thunder? Or make meringue clouds  Here is one recipe: . “Cloudette” by Tom Lichtenheld - Read out loud on YouTube linkA cute book about a little cloud called Cloudette",295
learning walks_main.docx part20," Sometimes being small has its advantages.“Air” Walk 4            Before the walk: Today we’ll talk about air, and will also try to touch base on the subject that can be challenging even for adults: gravity & free fall of different objects. As always, try to show and surprise more than explain and lecture ☺Let’s begin!Ask your child what people cannot live without. Listen to their answers. Then ask what we cannot live without even for a few minutes? Explain that we need air to breathe . Have them hold their breath for a few seconds and see if it’s possible to stay this way for longer ☺ You can actually set the timer and count the number of seconds or watch the seconds on your clock When you just walk outside, choose one of the items on the list and hold it at shoulder height and drop it to the floor. Ask the children what happened when you let go of the ball. Try it again with another item and ask again",213
learning walks_main.docx part21," Did the same thing happen? Climb up a higher structure, for example on top of the slide at a playground and drop the objects with different weights. You can use the things on the list or other objects you can collect on your walk, for example a rock, some leaves, a stick etc. Continue with each item in the bin, asking your kid to help you drop the items. Lead the child to identify that all objects, when let go, will fall to the floor. Ask the child to share what they notice about how each item falls, if it is fast or slow, and what they think might make it so.What changes the speed of the free fall? Even many adults will tell you that it depends on the weight of the object, but that’s not the case! It depends on the surface area and density of the objects. Here is an experiment to showcase this. Take two pieces of paper that have the same weight",192
learning walks_main.docx part22," Crumble one and keep the second one flat. Ask which one they think will fall down faster. Look and you’ll see that the crumbled paper will fall faster because its mass is smaller and the density is higher. Flat piece of paper takes more space and air resists the fall, so it falls slower. You can do this experiment with the child, but there is no need to explain the reason to kids under age 5-6. Experiments like this awaken inquisitiveness in children, and even though they don’t understand the actual reason behind some phenomena yet, they become more and more curious about the world, and you bring up lifelong learners.If you think your child is interested, you can also explain that gravity is a force that pulls things to the center of the earth, or simply to the ground. It’s what makes us stick to the ground, and be able to walk and not hover above it",190
learning walks_main.docx part23," We saw how some objects fell faster than others, but they all fell. Gravity is the reason for this!Mention that fishes live under the water and that there is no air there. Now wonder out loud how they breathe there. Let the young curious mind wonder!ExperimentAsk your child to sit on the floor and place her hands on her stomach, feeling her body moving while breathing air. Give her a straw and ask her to blow in it to move pieces of paper or cotton around with her breath . Have your kids run around or do jumping jacks and see how their breathing changes. Explain that being physically active like running causes our bodies to require more air!Fun factsPlanets and weight: Different planets have different strengths of gravity, which is why the weight of objects is different on the Moon, or Mars, than on Earth. So on different planets we can weigh much less or much more!Vacuum: It’s hard to imagine, but in vacuum  all objects fall with the same speed – an elephant, a feather, or us humans! For kids 5+ Gravity: While we have found that some of their tested objects seemed to fall faster than another, the truth is that all objects fall at the same rate",251
learning walks_main.docx part24," Gravity works exactly the same on all objects unless air resistance affects the objects. A balloon or a crumpled piece of paper will have more air / wind resistance than a crayon, therefore those objects will take longer to fall. This is also why parachutes are so effective. Air content: Air is a mixture of different gases. The air in Earth’s atmosphere is made up of about 3/4 nitrogen and 1/4 oxygen. Air also has small amounts of lots of other gases . While air is mostly gas, it also holds lots of tiny particles like dust and pollen, smoke, and other particles from cars and power plants. These are contributors to air pollution",138
learning walks_main.docx part25,"Air also contains water: When it’s a hot summer day, you’ve likely heard the word “humid.” What it means is the amount of water that the air can hold before it rains. Interesting story Just like on water , there are waves that form in the air! Bigger and smaller, more and less often . These waves allowed us to send  information through the air at vast distances and that’s what allowed us to develop appliances such as TV, radio, cell phones. They don’t use air to breathe like we do, but they use it to send information far, far away.Imaginarium Other planets have different types of atmosphere. For example, Venus is known for extreme winds up to 85 m/s , while Mars is known for dust storms, which can turn into what resembles small tornadoes. Imagine that the air would change and we would have extremely strong winds and dust storms all the time",198
learning walks_main.docx part26," How would life change? Maybe we would have to constantly wear masks/other protection? Or move underground? Would birds be able to fly? How would transportation change? Fun ideas to continue the conversation at home:If you come up with something that your child is interested in in Imaginarium, suggest they make a drawing of this “new world” when you get home! Ask your kids to draw pictures about air and what they’ve learned about itBooks to read""Air Is All Around You"" by Franklyn M. Branley – The book offers simple experiments that can be used in discovering air, requiring ingredients that can be easily found in most homes. Curious young minds will also discover the difference between fish and humans when it comes to breathing underwater.“Flora’s Very Windy Day” by Jeanne Birdsall - This book is mostly about relationships between siblings, but still is relevant to our subject, and many kids love it .“Kite Day: A Bear and Mole Story” by Will Hillenbrand - Short and sweet story about wind, kite, and more. Wonderful segway to take a kite out as well!“Living and Nonliving Things” Walk 5            Before the walk: Today we’ll be watching about Living and Nonliving things. Begin with telling your child that there are both living and nonliving things in nature. You don’t need to explain the differences between the two: your child will understand them during the walk as they observe and process the information",327
learning walks_main.docx part27,"Your main task is to emphasize the differences that children will notice and point out themselves. For example, the rock isn’t breathing, doesn’t grow, eat, or reproduce  – so it’s nonliving. While a flower consumes water , grows, and is able to reproduce through seeds. When you notice manmade objects around you, such as stairs, a bench, or a fence, point out that man made objects aren’t living. Often children say that living objects have an ability to move, and nonliving objects don't move. Give them an example of a tree or a bush  and nonliving objects that do move . See what they say. Make sure to write their response down if it’s something funny!Let’s begin!Start with a short conversation about living and nonliving things, providing examples is key: a caterpillar, a flower, that fir tree outside are living beings, while sun, clouds, mini scooter, rocks are nonliving",206
learning walks_main.docx part28," Let your child ask you a few questions if she has them.Try to keep your attention on the objects around you and discuss whether they are living or nonliving. What matters isn’t the right answer, but the child’s curiosity, interest, willingness to learn about the world around them, and for kids 4-5+ the way they attempt to explain their answer or idea. E.g., is a feather from a bird living or nonliving? What about a stomp left behind from a tree? How about mowed grass or leaves that fell from a tree? Waves rushing through the lake?Find a rock and a flower or leaf on your walk. Look closely at them: how are they different? If you can find some rocks, collect a few on your way home, and a few flowers too, maybe even make a bouquet. Let younger kids play with the rocks for a fun sensory activity, try to break them with a little hammer if you have one",199
learning walks_main.docx part29," Put the flowers in water, and in a few days when they dry out, point it out – we picked them a couple of days ago, and now they died. We plant a seed, water it, it grows and develops into a plant, grows, blossoms. While rocks don’t grow, change, or die.For older kids: ask why the flowers you’ve picked died . What is it that they get from the earth and the roots that allows them to live? If you break the rock, will it die? Look at the leaves, grass, insects on your walk closely, if you brought a magnifying glass – use it too. Tell them that plants are alive and they are breathing and eating. What do they use to breathe?  Again, the key is an attempt to help them notice something new rather than get them to the right answer as this helps their critical thinking development. E",187
learning walks_main.docx part30,"g., a child can say they breath with roots or stem because after you picked the flowers they stopped breathing and dried out. If your child gives you a wrong answer, ask the leading questions to show that this hypothesis isn’t exactly right. For example, there is air around the flowers and they could continue breathing this way. If at some point your child isn’t interested any more or can’t answer your question, let it go. Don’t try to force the right answer with multiple hints or answer it for them immediately. They might even come back to you in weeks or months, you’ll be surprised.At the end of the walk make sure to ask again: how living and nonliving things are different? Children often take time processing new information and might come back to you on this subject later, but this way they are learning to look for answers rather than simply consume information",186
learning walks_main.docx part31,"Interesting story Is it possible to create living things from nonliving things? There is an idea that like other planets  Earth didn’t have life many, many years ago. Somehow, living things and living nature come into being. Scientists have been trying to recreate this in their laboratories for many years, but so far they haven’t been able to do it. Many people believe that our planet and all living things were created by God.It is surprising, but we still can’t create a living being through science. For example, if a rare endangered animal becomes extinct, we will never be able to see them again, that’s why we create special conditions for them to be able to live and recreate. For example, Saber-toothed Tiger, Wooly Mammoth, or Pinta Island tortoise . In recent years, scientists have been able to clone animals! The first animal ever cloned was Dolly the sheep, and now they’ve been able to clone rats, mic, goats and more",213
learning walks_main.docx part32," Recently, the black-footed ferret has been successfully cloned, it’s the first endangered species ever cloned. If they ask, explain that cloning is the creation of a copy of a cell  or of an entire living thing. The copy is called a clone. A clone has exactly the same DNA as the original cell or living thing - so it is exactly the same.You can be more specific with your religious or scientific beliefs, but it’s always good to offer your child other opinions and express that people have differences in their thinking. For older kids, you can also learn more about cloning here : Fun Fact for ParentsArtificial Mind: We live in a world where non-living things act like living things. So, it comes as no surprise if our children find it difficult to distinguish between living and non living objects. We talk to Alexa and Siri, online TV apps recommend shows that we would like, and we see driverless cars around us, so the difference is much harder to grasp for this generation",209
learning walks_main.docx part33," I’ve heard kids say things like: “Plants should be non-living creatures because they cannot talk but Siri should be real ”. There are numerous anecdotes that young children think there's a little person inside the device. Children are actively trying to figure out how to conceptualize these devices — are they alive or not alive? “Is it a real person in there?"" So ask your kid if Alexa - if you have one - is a living being or not and have fun.The issue has not yet been exhaustively studied, but some research indicates children understand a device like Echo or Google Home is a piece of technology, but they also see these gadgets in psychological terms — as having emotions, as being capable of thought and friendship, and deserving of moral treatment ImaginariumImagine that the rain is alive! He lives, grows, has kids . It lives in the clouds and travels around the world. Let’s come up with a story about a living rain together!Depending on your child’s age and participation, you can take one of the three approaches: for younger little ones, tell them a story yourself, and maybe they will help you with details here and there; you can take turns and each person adds a new fact/action to the story line; if your child is old enough and is eager to do it, just let them tell you their story and listen attentively. Kids live when we are interested in their world and their imagination!In the future, point out stories and cartoons where nonliving objects become living and get human-like qualities . Fun game to play at home Say you have an object in mind and they need to guess what it is",344
learning walks_main.docx part34," It’s easier to try it out with another adult a couple of times first for them to grasp the idea. You can take a few cards from a game or simple print outs with you on a walk with things like a toy, a tree, an animal . Your kid gets 5 chances to guess the object on your card. They can only ask questions which have a yes or no answer . For example:Does it talk?Does it breathe?Does it walk on its own?Is it in nature?Is it human made? etc.If you play this game regularly, you will see that your children are starting to understand living and nonliving things way better. It gets easier for them to distinguish between living and non-living things because they start asking each of these questions in their minds. My daughter asked me if fruits are living things because plants “give birth to them”, try to answer this one!Books to read""Do you Know Which Ones Will Grow"" by Tom Slaughter - This book focuses on the ability to grow, one of the aspects of living things",219
learning walks_main.docx part35," Cute rhymes like this one: ““If a duckling grows and becomes a duck, can a car grow and become a truck?”“Living and Nonliving” by Carol K. Lindeen - This book describes how living things are different from nonliving things, focusing on the fact that living things grow, change, breathe, need food, move, react to their environment, get old, and die. I took a look at a number of books, and I think this one provides the simplest explanation for preschoolers and kindergardeners.For kids 5+: “Living Things” by Adrienne Mason  - This one is full of activities such as building your own worm farm, “tattooing” a plant, testing your lung capacity, creating a soda-bottle habitat for sow bugs, baking bread in order to “feed a fungus,” an “eating game” to explore how animals bodies are adapted to their environments, secret smells game, and more.“Trees” Walk 6            Before the walk: Today we’ll be observing the trees and looking to understand their different parts, such as roots, trunk, and leaves. Often kids don’t notice the differences between trees until we draw their attention to them, and it’s an excellent place to start a conversation about sustainability and usefulness of everything around us.Let’s begin!Let’s learn about the trees today! What kind of trees do you know? What is a tree? Is it living or nonliving . How is a tree different from other plants? How is it different from grass? And from a bush? ",364
learning walks_main.docx part36,"As you walk outside, find a location with a few different trees around you. Ask your child how many different trees can you see? How are they different from one another? If they have a hard time seeing the differences, point at the shape of leaves, shape of the leaf crown, some of them can have needles instead of leaves, or different color of bark.Try to guess the age of a few trees. E.g., “that oak tree is big and tall and has a thick trunk, it’s probably over 50 years old. Like our grandpa! And this birch tree is still very young, has a thin trunk, it might be only 4-5 years old, just like you!” The idea isn’t to get the age perfectly, but explain your thinking: thicker, taller trees are likely older than shorter thinner ones.Bring a few pieces of thin paper, crayons or street chalk, and tape with you",197
learning walks_main.docx part37," Tape paper to a tree trunk and rub with the sides of chalk or crayons. You can experiment with several trees and see that patterns the bark leaves are different.Ask your child what they think a tree needs its bark for. Point out that in winter when the trees lose their leaves, and other plants die - the trunk stays .Tell them that not all trees in the world have the same bark. Some of them change color, and some shed their thin bark as if they are hot .We’ve talked about the trunk and bark, now time to see what other parts trees have . Find a tree where the roots are coming above the ground, come closer and take a look, touch the roots",143
learning walks_main.docx part38," Ask your child why a tree needs roots? Why are they so much bigger than the roots of other plants? . Also, they keep the trees grounded and help them stay in the soil through strong winds and rain.Now find a shorter tree and show your child a branch with some leaves. Touch them to see if they are soft, what color they are. Do they have pointy edges or not? How many leaves are there on one stem .Remind your child that trees need food to live . Where does the tree get food from? It turns out that tiny leaves produce food for the entire tree! They need sun, air, and water  to produce nutritious juice that feeds the entire tree. Bark or trunk or branches can’t produce food for the tree without the leaves",158
learning walks_main.docx part39,"Give your child a riddle: “Can you think about a tree that will never have leaves, even in summer?” Many kids will remember about pine trees, if not, you can add this clue to a riddle if you celebrate Christmas: “We often find gifts under it for Christmas”. Ask your child how needles are different from leaves .Find a pine tree and look closely at its needles. Scientists discovered that needles are actually regular leaves that are rolled up very tightly! This shape is an adaptation that allows evergreens to conserve water. At the end of many branches you can see lighter and softer needles, these are the new young ones, this way these trees grow every year. Don’t forget to take pictures and use the magnifying glass.  You can find some pine cones underneath, look closely at them and see some nuts. People don’t eat these nuts, but who does? ",194
